
RN                     ,INSTANCE_NUMBER,METRIC_NAME_UNIT                                                           ,FIRST_MAXVAL,FIRST_AVERAGE,FIRST_STDDEV,SECOND_MAXVAL,SECOND_AVERAGE,SECOND_STDDEV
03/02 00:00-03/25 00:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.43,         3.95,         .76,         1.51,          1.13,          .14
03/02 00:00-03/25 00:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.36,        20.69,        6.23,         4.95,          3.61,          .62
03/02 00:00-03/25 00:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.67,        19.57,        5.48,         9.93,           6.8,         1.95
03/02 00:00-03/25 00:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       47.38,        15.65,        9.67,         9.53,          3.34,         1.83
03/02 00:30-03/25 00:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.73,         4.92,        1.43,         1.45,          1.18,          .14
03/02 00:30-03/25 00:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.67,        19.52,        7.41,         5.76,          4.27,         1.19
03/02 00:30-03/25 00:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.58,        16.92,        3.63,         8.03,          5.33,         1.35
03/02 00:30-03/25 00:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.71,        16.39,        9.01,         4.45,          2.98,           .7
03/02 01:00-03/25 01:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.63,         4.84,         .94,         1.37,          1.17,           .1
03/02 01:00-03/25 01:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       38.27,        21.11,        7.79,         5.97,             4,         1.05
03/02 01:00-03/25 01:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       40.24,        21.47,        7.82,         6.38,          4.48,          .96
03/02 01:00-03/25 01:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       66.68,        28.38,       16.54,          3.3,          2.68,          .38
03/02 01:30-03/25 02:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        5.89,         4.34,         .74,         1.55,          1.29,          .17
03/02 01:30-03/25 02:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.86,         20.8,        6.56,          5.8,          3.98,         1.09
03/02 01:30-03/25 02:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.14,        20.77,         6.8,         4.87,          3.12,          .88
03/02 01:30-03/25 02:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       59.84,        19.42,       13.08,         4.24,          3.02,          .52
03/02 02:00-03/25 03:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.64,         4.73,        1.28,         1.95,          1.48,          .27
03/02 02:00-03/25 03:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.11,        18.32,        6.38,         5.67,          3.76,         1.21
03/02 02:00-03/25 03:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       48.65,        18.02,       10.01,         7.26,          4.62,         1.29
03/02 02:00-03/25 03:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,          94,        29.17,       20.82,         4.51,          2.86,          .62
03/02 02:30-03/25 03:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         7.5,         4.84,        1.19,         2.01,           1.4,          .23
03/02 02:30-03/25 03:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       65.97,        26.34,       13.67,          6.4,          4.17,         1.09
03/02 02:30-03/25 03:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       55.75,        27.51,        9.72,         6.22,          4.39,          .95
03/02 02:30-03/25 03:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       72.55,         30.9,       13.87,         3.87,          2.74,          .53
03/02 03:00-03/25 04:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        8.65,         4.78,        1.68,         1.34,          1.15,          .09
03/02 03:00-03/25 04:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       88.86,        35.83,       23.12,         4.45,          3.28,          .63
03/02 03:00-03/25 04:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       42.91,        23.56,        9.26,         8.02,          4.85,         1.54
03/02 03:00-03/25 04:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       56.87,        24.68,        12.5,         3.79,          2.71,          .51
03/02 03:30-03/25 05:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.38,         3.95,        1.01,         1.61,           1.4,          .13
03/02 03:30-03/25 05:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.49,        20.43,         5.2,         4.49,           3.6,          .58
03/02 03:30-03/25 05:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,          37,        21.73,        6.62,         5.48,          3.58,          .82
03/02 03:30-03/25 05:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       56.58,        21.94,       11.99,        66.66,         18.32,        18.03
03/02 04:00-03/25 06:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        4.89,         2.62,         .94,         2.07,          1.39,          .34
03/02 04:00-03/25 06:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       46.47,        24.61,       10.02,         6.07,          3.61,          .78
03/02 04:00-03/25 06:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       31.27,        23.91,        5.78,         4.55,          3.45,          .68
03/02 04:00-03/25 06:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       50.13,        33.73,        9.72,        34.87,          6.44,         8.09
03/02 04:30-03/25 06:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         5.5,         2.61,        1.09,         1.77,          1.34,          .21
03/02 04:30-03/25 06:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       41.63,        26.19,        7.51,         5.16,             4,          .57
03/02 04:30-03/25 06:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.64,         20.4,        2.62,          7.6,          5.02,         1.07
03/02 04:30-03/25 06:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,        36.7,        25.33,        5.76,          3.5,          2.69,          .35
03/02 05:00-03/25 07:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        4.09,         2.83,         .55,         5.58,          3.47,         1.26
03/02 05:00-03/25 07:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.86,        19.35,        4.35,          6.7,          4.31,         1.09
03/02 05:00-03/25 07:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.99,        21.58,        5.97,         5.04,          3.57,          .87
03/02 05:00-03/25 07:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       45.02,        19.11,        8.79,         3.58,          2.87,          .32
03/02 05:30-03/25 08:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.25,         4.32,        1.04,        11.37,          3.66,          2.9
03/02 05:30-03/25 08:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       56.92,         36.4,        9.43,        71.94,         19.52,        21.51
03/02 05:30-03/25 08:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       47.06,        36.22,         5.5,        54.74,         13.21,        15.83
03/02 05:30-03/25 08:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,        51.7,        41.51,        7.68,        49.59,         18.33,         14.5
03/02 06:00-03/25 09:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        11.5,         6.15,        2.43,         1.57,           1.3,          .17
03/02 06:00-03/25 09:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       79.18,        44.36,        17.5,         7.24,          5.08,          .87
